animal_ID,Cohort,Sex,Timepoint,Time,ZT,LD Cycle,percent_sleep,percent_sleepdec,mean_bout,mean_bout_round,total_min,total_min_round,REM_percent_sleep,REM_percent_sleepdec,REM_mean_bout,REM_mean_bout_round,REM_total_min,REM_total_min_round,nREM_percent_sleep,nREM_percent_sleepdec,nREM_mean_bout,nREM_mean_bout_round,nREM_total_min,nREM_total_min_round,WAKE_percent,WAKE_percent_dec,WAKE_mean_bout,WAKE_mean_bout_round,WAKE_total_min,WAKE_total_min_round
1:02,1,M,B,14:00:00,7,L,63.94,0.6394,146.24,146,38.364,38,5.17,0.0517,9.73,10,3.102,3,56.06,0.5606,67.8,68,33.636,34,38.78,0.3878,66.86,67,23.268,23
1:02,1,M,B,15:00:00,8,L,72.56,0.7256,197.86,198,43.536,44,4.78,0.0478,9.14,9,2.868,3,65.28,0.6528,74.25,74,39.168,39,29.94,0.2994,51.24,51,17.964,18
1:02,1,M,B,16:00:00,9,L,91.94,0.9194,429,429,55.164,55,5.56,0.0556,10.4,10,3.336,3,49.67,0.4967,69.08,69,29.802,30,44.78,0.4478,70.43,70,26.868,27
1:02,1,M,B,17:00:00,10,L,62,0.62,181.23,181,37.2,37,6.61,0.0661,7.27,7,3.966,4,62.5,0.625,70.25,70,37.5,38,30.89,0.3089,33.58,34,18.534,19
1:02,1,M,B,18:00:00,11,L,63.17,0.6317,172.86,173,37.902,38,9.17,0.0917,8.71,9,5.502,6,71.28,0.7128,50.63,51,42.768,43,19.56,0.1956,23.2,23,11.736,12
1:02,1,M,B,19:00:00,12,D,47.33,0.4733,110.82,111,28.398,28,9.72,0.0972,11.92,12,5.832,6,34.06,0.3406,50.25,50,20.436,20,56.22,0.5622,78.08,78,33.732,34
1:02,1,M,B,20:00:00,13,D,17.33,0.1733,46.47,46,10.398,10,6.89,0.0689,10.94,11,4.134,4,29.28,0.2928,32.06,32,17.568,18,63.83,0.6383,63.89,64,38.298,38
1:02,1,M,B,21:00:00,14,D,36,0.36,68.43,68,21.6,22,8.72,0.0872,11.05,11,5.232,5,41.17,0.4117,32.77,33,24.702,25,50.11,0.5011,49.78,50,30.066,30
1:02,1,M,B,22:00:00,15,D,33.83,0.3383,76.5,77,20.298,20,1.94,0.0194,12,12,1.164,1,0.83,0.0083,7.33,7,0.498,0,97.22,0.9722,438.5,439,58.332,58
1:02,1,M,B,23:00:00,16,D,11.11,0.1111,47,47,6.666,7,4.06,0.0406,9.8,10,2.436,2,19.67,0.1967,32.09,32,11.802,12,76.28,0.7628,145.05,145,45.768,46
1:02,1,M,B,0:00:00,17,D,52.22,0.5222,69.94,70,31.332,31,12.5,0.125,14.31,14,7.5,8,52.17,0.5217,52.22,52,31.302,31,35.33,0.3533,44.14,44,21.198,21
1:02,1,M,B,1:00:00,18,D,14,0.14,61.27,61,8.4,8,9,0.09,9.12,9,5.4,5,41.61,0.4161,35.4,35,24.966,25,49.39,0.4939,55.5,56,29.634,30
1:02,1,M,B,2:00:00,19,D,71.61,0.7161,110.08,110,42.966,43,1.78,0.0178,13,13,1.068,1,6.5,0.065,24.67,25,3.9,4,91.72,0.9172,474.57,475,55.032,55
1:02,1,M,B,3:00:00,20,D,56.33,0.5633,170.31,170,33.798,34,15.28,0.1528,13.6,14,9.168,9,45.28,0.4528,27.5,28,27.168,27,39.44,0.3944,32.27,32,23.664,24
1:02,1,M,B,4:00:00,21,D,48.33,0.4833,109.56,110,28.998,29,8.11,0.0811,11.67,12,4.866,5,33,0.33,36.48,36,19.8,20,58.89,0.5889,88.33,88,35.334,35
1:02,1,M,B,5:00:00,22,D,28.5,0.285,54.52,55,17.1,17,1.94,0.0194,18,18,1.164,1,1,0.01,6.5,7,0.6,1,97.06,0.9706,498.57,499,58.236,58
1:02,1,M,B,6:00:00,23,D,0.5,0.005,16,16,0.3,0,6.5,0.065,8.63,9,3.9,4,46.61,0.4661,51.64,52,27.966,28,46.89,0.4689,70.17,70,28.134,28
1:03,1,M,A,7:00:00,0,L,14.22,0.1422,59.6,60,8.532,9,6.33,0.0633,14.62,15,3.798,4,28,0.28,83,83,16.8,17,65.67,0.6567,183.69,184,39.402,39
1:03,1,M,A,8:00:00,1,L,89.33,0.8933,258.77,259,53.598,54,12.06,0.1206,13.61,14,7.236,7,82.39,0.8239,78,78,49.434,49,5.56,0.0556,15.67,16,3.336,3
1:03,1,M,A,9:00:00,2,L,81.11,0.8111,165.58,166,48.666,49,8.33,0.0833,12.89,13,4.998,5,51.28,0.5128,64.14,64,30.768,31,40.39,0.4039,72.7,73,24.234,24
1:03,1,M,A,10:00:00,3,L,38.39,0.3839,95.75,96,23.034,23,8.67,0.0867,12.8,13,5.202,5,72.67,0.7267,65.65,66,43.602,44,18.67,0.1867,21.8,22,11.202,11
1:03,1,M,A,11:00:00,4,L,79.17,0.7917,162.21,162,47.502,48,8.39,0.0839,16.5,17,5.034,5,60.39,0.6039,69.81,70,36.234,36,31.22,0.3122,48.96,49,18.732,19
1:03,1,M,A,12:00:00,5,L,73.61,0.7361,186.4,186,44.166,44,4.89,0.0489,16.2,16,2.934,3,36.61,0.3661,76.24,76,21.966,22,58.5,0.585,124.35,124,35.1,35
1:03,1,M,A,13:00:00,6,L,89.39,0.8939,261.85,262,53.634,54,9.28,0.0928,15.38,15,5.568,6,80.5,0.805,79.51,80,48.3,48,10.22,0.1022,14.72,15,6.132,6
1:03,1,M,A,14:00:00,7,L,66.33,0.6633,160.75,161,39.798,40,6.33,0.0633,10.75,11,3.798,4,49.17,0.4917,68.23,68,29.502,30,44.5,0.445,73.18,73,26.7,27
1:03,1,M,A,15:00:00,8,L,71.44,0.7144,298.44,298,42.864,43,9,0.09,16.75,17,5.4,5,70.33,0.7033,79.69,80,42.198,42,20.67,0.2067,28.38,28,12.402,12
1:03,1,M,A,16:00:00,9,L,81.67,0.8167,177.11,177,49.002,49,10.11,0.1011,12.83,13,6.066,6,71.22,0.7122,63.46,63,42.732,43,18.67,0.1867,32.7,33,11.202,11
1:03,1,M,A,17:00:00,10,L,57.61,0.5761,174,174,34.566,35,5.56,0.0556,13.82,14,3.336,3,48.72,0.4872,117.6,118,29.232,29,45.72,0.4572,138.33,138,27.432,27
1:03,1,M,A,18:00:00,11,L,51.94,0.5194,103.1,103,31.164,31,8,0.08,13,13,4.8,5,51.89,0.5189,61.29,61,31.134,31,40.11,0.4011,71.7,72,24.066,24
1:03,1,M,A,19:00:00,12,D,33.39,0.3339,74.32,74,20.034,20,6.44,0.0644,13.57,14,3.864,4,32.78,0.3278,49.08,49,19.668,20,60.78,0.6078,90.92,91,36.468,36
